Facebook Computer Browser,
Profile,
Home,
Find Friends,
Friends Requests,Find Friends
,Settings
,See All
Messages,Recent
,Message Requests
,New Group
,New Message
,See All in Messenger
,Mark All as Read
Notifications,Mark All as Read
,Settings
,See All
Quick Help,How can we help? Search bar
,Home Page
,Timeline
,Chat and Messages
,Account Security
,Privacy
,Privacy Shortcuts
,Support Inbox
,Report a Problem
Account Settings,Create Page
,Create Group
,New Groups
,Create Fundraiser
,Create Ads
,Advertising on Facebook
,Activity Log
,News Feed Preferences
,Settings
,Log Out
Your Name,Edit Profile
News Feed,Top Stories
,Most Recent
,Edit Preferences
Messenger,
Watch,
Shortcuts,
Explore,Groups
,Pages
,Events
,Frineds Lists
,On This Day
,Games
,Marketplace
,Fundraisers
,Live Video
,Recent Ad Activity
,Town Hall
,Photos
,Suggest Edits
,Payment History
,Games Feed
,Buy and Sell Groups
,Saved
,Jobs
,Crisis Response
,Order Food
,Pokes
,Create a Frame
,Explore Feed
,Recommendations
,Offers
,Weather
,Find Friends 2
,Movies
,Pages Feed
,Find Friends 2
,Movies
,Pages Feed
Create,Ad
,Page
,Group
,Event
,Fundraiser
Make Post,Photo/Video Album
,Live Video
Search Bar,Recent Searches - List
,Edit
