Gmail (menu),,,,
,Gmail,,,
,Contacts,,,
,Task,,,
Compose,,,,
,Minimize button,,,
,Expand button,,,
,Exit button,,,
,To,,,
,Cc,,,
,Bcc,,,
,Send,,,
,Formatting options,,,
,,Font,,
,,Size,,
,,Bold,,
,,Italics,,
,,Underline,,
,,Text color,,
,,Align ,,
,,Numbered list,,
,,Bulleted list,,
,,Indet list,,
,,Indent more,,
,,More formatting options,,
,,,Remove formatting,
,,,Quote,
,Attach files,,,
,Insert files,,,
,Send and request money,,,
,Insert photos,,,
,Insert link,,,
,Insert emojis,,,
,Discard draft,,,
,More options,,,
,,Label,,
,,,Search bar,
,,,Personal,
,,,Receipts,
,,,Travel,
,,,Work,
,,,Social,
,,,Promotions,
,,,Updates,
,,,Forums,
,,,Add star,
,,,Create new,
,,,,New label name
,,,,Nest label under
,,,,Create
,,,,Cancel
,,,Manage labels,
,,Plain text mode,,
,,Print,,
,,Check spelling,,
Inbox,,,,
,Dropdown menu:,,,
,,Default,,
,,Important first,,
,,Unread first,,
,,Starred first,,
,,Priority inbox,,
,Top toolbar of inbox:,,,
,,Primary,,
,,Social,,
,,Promotions,,
,,Plus icon,,
,,,Primary,
,,,Social,
,,,Promotions,
,,,Updates,
,,,Forums,
,,,Include starred in primary,
,,,Sace,
,,,Cancel,
Starred,,,,
Important,,,,
Sent Mail,,,,
Drafts,,,,
Personal,,,,
,Dropdown menu:,,,
,,Label color,,
,,,Add custom color,
,,,Remove color,
,,In label list:,,
,,,Show,
,,,Show if unread,
,,,Hide,
,,In message list:,,
,,,Show,
,,,Hide,
,,Edit,,
,,Remove label,,
,,Add sub-label,,
Travel,,,,
,Dropdown menu:,,,
,,Label color,,
,,,Add custom color,
,,,Remove color,
,,In label list:,,
,,,Show,
,,,Show if unread,
,,,Hide,
,,In message list:,,
,,,Show,
,,,Hide,
,,Edit,,
,,Remove label,,
,,Add sub-label,,
More labels,,,,
Chats,,,,
All mail,,,,
Spam,,,,
Trash,,,,
Categories,,,,
,In label list:,,,
,,Show,,
,,Hide,,
Receipts,,,,
,Dropdown menu:,,,
,,Label color,,
,,,Add custom color,
,,,Remove color,
,,In label list:,,
,,,Show,
,,,Show if unread,
,,,Hide,
,,In message list:,,
,,,Show,
,,,Hide,
,,Edit,,
,,Remove label,,
,,Add sub-label,,
Work,,,,
,Dropdown menu:,,,
,,Label color,,
,,,Add custom color,
,,,Remove color,
,,In label list:,,
,,,Show,
,,,Show if unread,
,,,Hide,
,,In message list:,,
,,,Show,
,,,Hide,
,,Edit,,
,,Remove label,,
,,Add sub-label,,
Manage labels,,,,
Create new label,,,,
User Name,,,,
,Dropdown:,,,
,,Share status bar,,
,,Show when last active,,
,,Show which device you're on,,
,,Show when you're in a video/call on device,,
,,Mute notifications,,
,,Sounds for incoming messages,,
,,Ring on incoming phone calls,,
,,Convert text to emoji,,
,,Use dense roster,,
,,Archived hangouts,,
,,Invites,,
,,Hidden contacts,,
,,Blocked people,,
,,Customize invite settings,,
,,,Get notified about invitations,
,,,Recommended,
,,,Customized,
,,,People with your phone number,
,,,People with your email address,
,,,Everyone else,
,,Sign out of hangouts,,
,,Help,,
,,Feedback,,
,Plus box,,,
,,Search bar,,
,,New group,,
Chat notification box:,,,,
,People button,,,
,,Find someone,,
,Chat button,,,
,,Start a new chat,,
,Phone button,,,
,,Search bar,,
,,Cost of call,,
,Make a call,,,
,Andoir and IOS link,,,
Top Menu Bar:,,,,
,Select,,,
,,All,,
,,None,,
,,Read,,
,,Unread,,
,,Starred,,
,,Unstarred,,
,Refresh,,,
,More,,,
,,Mark all as read,,
,,Select message to see more options,,
,R/L arrows,,,
,Settings,,,
,,Display mode:,,
,,,Touch enabled,
,,,Comfortable,
,,,Cozy,
,,,Compact,
,,,Configure inbox,
,,,Settings,
,,,Themes,
,,,Get add-ons,
,,,Feedback,
,,,Help,
