Instagram - iOS,
,
Top Bar,(Paper Airplane) Direct Message
,Camera
,
Camera,Mode Bar
,Control Bar
,>
,(Gear) Settings
,Enable Camera Access
,Enable Microphone Access
,
Mode Bar,Hands-Free
,Rewind
,Stop-Motion
,Superzoom
,Boomerang
,Normal
,Live
,
Normal,Tap to Focus
,(Sparkle Face) Masks
,Swap Camera
,Shutter Button
,Flash Auto
,Flash On
,Flash Off
,(Picture) Library
,
Live,Tap to Focus
,(Sparkle Face) Masks
,Start Live Video
,Swap Camera
,
Boomerang,Tap to Focus
,(Sparkle Face) Masks
,Swap Camera
,(Infinity) Shutter Button
,Flash Auto
,Flash On
,Flash Off
,(Picture) Library
,
Super Zoom,Tap to Focus
,Swap Camera
,Shutter Button
,Flash Auto
,Flash On
,Flash Off
,(Picture) Library
,
Stop-Motion,Tap to Focus
,(Sparkle Face) Masks
,Swap Camera
,Shutter Button
,Flash Auto
,Flash On
,Flash Off
,
,
Rewind,Tap to Focus
,(Sparkle Face) Masks
,Swap Camera
,Shutter Button
,Flash Auto
,Flash On
,Flash Off
,(Picture) Library
,
Hands Free,Tap to Focus
,(Sparkle Face) Masks
,Swap Camera
,Shutter Button
,Flash Auto
,Flash On
,Flash Off
,(Picture) Library
,
Direct Message,Heart
,(Picture) Library
,Camera Button
,Text Box
,Search Bar
,
Stories Bar,Friends' Stories
,Add to Your Story
,Watch All
,
Posts,Link to Profile Page
,Swipe to See More
,Bookmark
,(Paper Airplane) Send To
,(Dialog Bubble) Comment
,(Heart) Like
,
Send To,Cancel
,Firend List
,Search Bar
,
Profile Page,<
,Tagged Posts
,List View
,Grid View
,Follow
,X
,See All
,Suggestions for You
,Add Friend
,Following
,Followers
,Posts
,Message
,Story
,
Followers,Follow
,Links to Profile Pages
,Search Bar
,
Following,Follow
,Links to Profile Pages
,Search Bar
,
...,Cancel
,Turn on/off Post Notifications
,Send Message
,Share this Profile
,Copy Profile URL
,Hide your Story
,Report
,Block
,
Bottom Bar,Profile
,Heart
,+
,Search
,Home
,
Search,Videos You Might Like
,Posts
,Stories
,Search bar
,
Videos You Might Like,Bookmark
,(Paper Airplane) Send To
,(Dialog Bubble) Comment
,...
,Heart
,X
,
+,Video
,Photo
,Library
,Shutter Button
,Swap Camera
,Next
,Cancel
,
Hear,You
,Following
,
Your Profile,Bookmarks
,Tagged Posts
,List View
,Grid View
,(Gear) Settings
,Edit Profile
,Following
,Followers
,Posts
,Profile Picture
,Archive
,Add People
,
Edit Profile,Gender
,Phone
,Email
,Try Instagram Business Tools
,Bio
,Website
,Username
,Name
,Change Profile Photo
,Done
,Cancel
,
Settings,Log Out
,Add Account
,Clear Search History
,Open Source libraries
,Terms
,Privacy Policy
,Blog
,Ads
,Report a Problem
,Help Center
,Vibrate for Notifications
,Save Original Photos
,Commets
,Cellular Data Usage
,Email an SMS Notification Settings
,Push Notification Settings
,Language
,Contacts (Settings)
,Linked Accounts
,Private Account
,Switch to Business Profile
,Blocked Users
,Two-Factor Authentication
,Posts You've Liked
,Change Password
,Edit Profile
,Story Settings
,Photos of You
,Contacts
,Facebook Friends (Follow People)
,Facebook Friends (Invite)
,
,
Invite Facebook Friends,<
,Invite
,
Discover People,Follow All
,Hide
,Follow 
,Contacts (Settings)
,Facebook
,Suggested
,<
,
Photos of You,Hide Photos
,Add Manually
,Add Automatically
,
Hide Photos,Check Photos
,Hide Photos
,Cancel
,
Story Settings,<
,Share Your Story to Facebook
,Auto Save Stories to Camera Roll
,Allow Sharing
,Allow Message Replies Off
,Allow Message Replies - People You Follow
,Allow Message Replies - Everyone
,Hide Story From
,
Change Password,Verify
,New
,Current
,Done
,Cancel
,
Posts You've Liked,<
,List View
,Grid View
,
Two-Factor Authentication,<
,Require Security Code
,
Blocked Users,Unblock
,
Switch to Business Profile,Cancel
,
Linked Accounts,<
,OK.ru
,VKontakte
,Mixi
,Ameba
,Weibo
,Tumblr
,Twitter
,Facebook
,
Contacts,<
,Connect Contacts
,
Language,<
,Select Language
,
Push Notifications Settings,<
,Story Polls
,Live Videos
,Support Requests
,View Counts
,Product Announcements
,First Posts and Stories
,Reminders
,Photos of You
,Instagram Direct
,Instagram Direct Requests
,Friends on Instagram
,Accepted Follow Requests
,New Followers
,Likes and Comments of Photos of You
,Comment Likes
,Comments
,Likes
,
Email and SMS Notifications,<
,Text(SMS) Messages
,News Emails
,Product Emails
,Reminder Emails
,Research Emails
,
Cellular Data Use,<
,Use Less Data
,
Comments,<
,Enable Keyword Filters
,Hide Offensive Comments
,Block Comments From
,Allow Comments From
