Recents,Browse
 +,Edit
> Standard/Wide,Locations
>> White,> iCloud Drive
>> Black,>> Create Document
>> Gradient,> Drive
>> Showroom,>> Create Document
>> Modern Type,> More Locations
>> Exhibition,>> Create Document
>> Drafting,> Recently Deleted
>> Photo Essay,Favorites
>> Classic,Tags
>> State,> Red
>> Cream Paper,> Orange
>> Artisan,> Yellow
>> Improv,> Green
>> Renaissance,> Blue
>> Photo Portfolio,> Purple
>> Editorial,> Gray
>> Kyoto,> Work
>> Brushed Canvas,> Home
>> Typeset,> Important
>> Moroccan,
>> Craft,
>> Industrial,
>> Modern Portfolio,
>> Harmony,
>> Graph Paper,
>> Blueprint,
>> Formal,
>> Leather Book,
>> Vintage,
>> Hard Cover,
>> Linen Book,
>> Chalkboard,
>> Parchment,
Keynote Remote,
