Numbers,About Numbers,Preferences,Provide Numbers Feedback,Services,Hide Numbers,Hide Others,Show All,Quit Numbers,,,,,,,,,,,,,,,,,,
File,New...,Open...,Open Recent,Close,Save...,Duplicate,Rename,Move to...,Revert to...,Export to...,Save as Template,Advanced,Set Password,Print,,,,,,,,,,,,
Edit,Undo,Redo,Cut,Copy,Paste,Paste and Match Style,Paste Formula Results,Delete,Clear All,Duplicate Session,Select All,Deselect All,Select Parent,Remove Highlights and Comments,Edit Cell as Formula,Find >,Spelling and Grammar >,Substitutions >,Transformations >,Speech >,Start Dictation...,Emoji & Symbols,,,,
Insert,Sheet,Column Break,Page Number,Page Count,Date & Time,Table,Chart,Text Box,Shape,Line,Highlight,Comment,Copied Rows,Copied Columns,Formula,MathType Equation...,Choose...,,,,,,,,,
Table,Add Row Above,Add Row Below,Add Column Before,Add Column After,Delete Row,Delete Column,Header Rows,Freeze Header Rows,Header Columns,Freeze Header Columns,Footer Rows,Resize Row to Fit Content,Resize Column to Fit Content,Distribute Rows Evenly,Distribute Columns Evenly,Hide Row,Unhide All Rows,Hide Column,Unhide All Columns,Sort & Filter Options,Apply Sort Rules,Autofill Cells,Merge Cells,Unmerge Cells,Transpose Rows and Columns,Wrap Text
Format,Font >,Text >,Chart >,Shapes and Lines >,Image >,Movie >,Copy Style,Paste Style,Conditional Highlighting...,Add Link,Remove Link,Advanced >,,,,,,,,,,,,,,
Arrange,Brint Forward,Bring to Front,Send Backward,Send to Back,Align Objects,Distribute Objects,Flip Horizontally,Flip Vertically,Lock,Unlock,Group,Ungroup,,,,,,,,,,,,,,
View,Inspector,Show Rulers,Guides,Comments,Show Arrange Tools,Show Colors,Show Adjust Image,Zoom,Show Warnings,Enter Full Screen,Hide Toolbar,Customize Tooldbar,,,,,,,,,,,,,,
Share,Share Link via iCloud,Send a Copy,,,,,,,,,,,,,,,,,,,,,,,,
Window,Minimize,Zoom,Show Previous Sheet,Show Next Sheet,Show First Sheet,Show Last Sheet,Bring All to Front,Untitled,,,,,,,,,,,,,,,,,,
Help,Search,Numbers Help,Keyboard Shortcuts,Formulas and Functions Help,What's New to Numbers,Service and Support,,,,,,,,,,,,,,,,,,,,
