FILE,EDIT,VIEW,HISTORY,WINDOW,HELP,DROPDOWN MENU,NAVIGATION PANE,QUICK SWITCHER,ALL VIEWS,CHANNEL VIEW,DIRECT MESSAGE VIEW,MESSAGE PANE,WINDOW BAR,,,,,,,
Change what messages trigger a notification,Undo,Reload,History back,Sign in to another workspace,Check for updates,Set status,View all threads,Jump to channel,Search Slack,Star this channel,Star this direct message,View messages,Show menu bar,,,,,,,
Notify about followed threads,Redo,Toggle fullscreen,History forward,,Display keyboard shortcuts,Edit profile,Browse all channels in workspace,,Show activity,View member list,Start a call,Send message,Minimize,,,,,,,
Use different settings for mobile devices,Cut,Reset zoom,,,Open help center,Change account settings,Join a channel,,Show starred items,View pinned items,Show conversation details,Code or text,Maximize,,,,,,,
Manage keywords that trigger a notification,Copy,Zoom in,,,Report issue,View preferences,View channels you've joined,,Display your files,Add a topic,Jump to date,Google docs file,Close,,,,,,,
Disable notifications during certain hours,Paste,Zoom out,,,Show logs in explorer,View your files,Create a channel,,Display all files,Start a call,View user's profile,Post,,,,,,,,
Include a preview of the message in each notification,Paste and match style,,,,Clear cache and restart,Set self to 'away',Show users to direct message,,Workspace directory,Show channel details,Show conversation details,Attach from google drive,,,,,,,,
Play sound when receiving a notification,Delete,,,,Reset app data,Copy member ID,Start a direct message,,Help center,Jump to date,,Attach from your computer,,,,,,,,
Mute all sounds from slack,Select all,,,,Display version history changelogs,View preferences,View direct messages,,Show version history changelog,Invite new members,,Notify workspace member in message,,,,,,,,
Flash window when receiving a notification,Find,,,,About Slack,Set self to 'away',Browse apps,,Show downloads,View channel details,,Send emoji in message,,,,,,,,
Change how notifications are delivered,,,,,,Search the help center,Install an app,,Show keyboard shortcuts,Archive channel,,Add reaction to a message,,,,,,,,
Allow notifications to be sent to other devices if inactive,,,,,,View keyboard shortcuts,View apps you've installed,,,Rename channel,,Start a thread,,,,,,,,
Manage specific notification rules for individual channels,,,,,,Invite people to Slack workspace,,,,Set channel's purpose,,Share message,,,,,,,,
Launch app on login,,,,,,Upgrade to paid plan,,,,Mute channel,,Share message,,,,,,,,
Leave app running when window is closed,,,,,,View analytics,,,,Ignore notifications from channel,,Copy link,,,,,,,,
Change language,,,,,,Customize slack,,,,Change notifications options for desktop and mobile,,Mark unread,,,,,,,,
Change timezone,,,,,,Sign out of workspace,,,,Mute channel,,Add reaction,,,,,,,,
Change theme (from clear to compact),,,,,,Sign in to another workspace,,,,Add an app,,View message sender's profile,,,,,,,,
