Twitter - iOS,,,,
,,,,
Search Twitter,Search,,,
,Connect,Write new tweet,,
,,"""Popular near you""",,
,,"""people you may know""",,
,,"""Because you follow [insert user]""",,
,,Find friends,,
,Trends for you,,,
,Today's Moments,,,
,Explore All,,,
,Popular Articles,,,
,Live video,,,
,[suggested genres/tweets/user dependent on current following and acticity],,,
,,,,
Notifications,All,,,
,Mentions,,,
,Filters,,,
,,,,
Messages,New messages,,,
,Suggested users,,,
,,,,
Profile,Following,,,
,Followers,,,
,Profile ,Write new tweet,,
,,Tweets,,
,,Tweets and replies,,
,,Media,,
,,Likes,,
,,Set up profile,,
,Lists,Subscribed to,,
,,Member of,,
,,Create list,,
,Moments,Add moment,,
,Settings and privacy,Account,Username,
,,,phone,
,,,email,
,,,security,
,,,your twitter data,
,,,log out,
,,privacy and safety,protect your tweets,
,,,photo tagging,
,,,receive messages from anyone,
,,,show read receipts,
,,,connect to Periscope,
,,,discoverability and contacts,let others find you by email
,,,,let other find you by phone number
,,,,sync address book contacts
,,,,remove all contacts
,,,muted,muted words
,,,,muted accounts
,,,blocked accounts,all imported
,,notifications,quality filter,
,,,advanced filters,you don't follow
,,,,who don't follow you
,,,,with a new account
,,,,who have a default profile picture
,,,,who haven't confirmed their email
,,,,who haven't confirmed their phone number
,,,blocked accounts,
,,,push notifications,tweets
,,,,mentions and replies
,,,,retweet
,,,,likes
,,,,photo tages
,,,,new followers
,,,,direct messages
,,,,contact join twitter
,,,,highlights
,,,,news
,,,,recommendations
,,,,moments
,,,,crisis and emergency alerts
,,,,first look at new features
,,contact perferences,show the best tweets first,
,,,trends,
,,,muted,
,,,blocked accounts,
,,display and sound,sound effects,
,,,night mode,
,,data usage,image previews,
,,,video autoplay,
,,,media storage,
,,,web storage,
,,Accessibility,open links in reader view,
,,,"pronounce # as ""hashtage""",
,,,include usernames in timeline,
,,,read shortened URLs,
,,,magic tap action,
,,,increase color contrast,
,,,compose image descriptions,
,,,reduce motion,
,,,video autoplay,
,,about twitter,send crash reports,
,,,help center,
,,,terms of service,
,,,privacy policy,
,,,cookie use,
,,,legal notices,
,Help Center,,,
,User QR code,,,
,Night mode,,,
