Mail Icon,Dropdown,,,
,Drafts,button,,
,Sent Mail,button,,
,Folders,Dropdown,,
,,Folders,List,N
People Icon,button,,,
Flagged,button,,,
Mail,Panel,,,
,Emails,List,N,
,Respond,button,,
,New,Popup,,
,Delete ,button,,
New Mail,Popup,,,
,To,Text Field,,
,Cc,Text Field,,
,More,Button,,
,Bcc,,,
,Priority,Dropdown,,
,,High,Option,
,,Normal,Option,
,,Low,Option,
,Subject,Text Field,,
,Message,Text Field,,
,Attachments,File Selector,,
Mail Search,text field,,,
Archive Selected Items,button,,,
Delete Selected Items,button,,,
Move Selected Items,popup bar (Move To),,,
Move To,+,button,,
,Outbox,button,,
,Inbox,button,,
,Archive,button,,
,Clutter,button,,
,Conv History,button,,
,Deleted Items,button,,
,Drafts,button,,
,Junk Email,button,,
,Sent Items,button,,
Actions,Set Flag,button,,
,Clear Flag,button,,
,Mark as Read,button,,
,Mark as Unread,button,,
Enter Selection Mode,button,,,
Exit Selection Mode,button,,,
Synch this view,button,,,
Collapse,button (close sidebar),,,
Expand,Sidebar,,,
Sidebar,New Mail, popup (compose page),,
