File,Exit,Emptyrecent files list,Open all recent files,Restore recent closed file,Print now,Print,Save Session,Load Session,Move to recycle bin,Close more>,Close all but active document,Close all to the left,Close all the right<,Close all,Close,Rename,Save all,Save Copy as,Save as,Save,Reload from Disk,Open folder as workspace,Open containing folder>,Explorer,CMD<,Open,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edit,Column Editor,Column Mode,On Selection>,Open file,Open containing folder in explorer,Search on internet,Change search engine<,Paste Special>,Paste html content,paste RTF content,Copy binary content,Cut binary content,Paste binary content<,Blank operations>,trim trailing space,trim leading space,trim leading and trailing space,EOL to space,remove unnecessary blank and EOL,Tab to space,Space to tab All,Space to tab leading<,EOL Conversion>,Windows CRLF,Unix LF,Macintosh CR<,Auto Completion>,Function completion,Word completion,Function parameters hint,Path completion<,Comment/Uncomment>,toggle single line comment,Single line comment,Single line uncomment,block comment,block uncomment<,Line operations>,Duplicate current line,split lines,Join lines,Move up current line,move down current line,remove empty line,remove empty lines containing blank characters,inset blank line below current,sort lines lexicographically ascending<,Convert case to>,UPPERCASE,lowercase,Proper case,Proper case blend,Sentence Case,Sentence case blend,Invert Case,Random Case<,Indent>,Increase Line Indent,Decrease Line Indent<,Copy to Clipboard>,Current full file path to clipboard,Current filename to clipboard,Current dir. Path to clipboard<,Begin/End select,Select All,Delete,Paste,Copy,Cut,Redo,Undo,,,,,,,,
Search,Bookmark>,toggle bookmark,next bookmark,previous bookmark,clear all bookmark,cut bookmarked lines,copy bookmarked lines,paste to replace bookmarked lines,remove bookmarked lines,remove unmarked lines,inverse bookmark<,Jump down>,1st style,2nd style,3rd style,4th style,5th style,Find style<,Jump up>,1st style,2nd style,3rd style,4th style,5th style,Find style<,Unmark all>,Clear 1st style,Clear 2nd style,Clear 3rd style,Clear 4th style,Clear 5th style,Clear all style<,Mark all>,Using 1st style,Using 2nd style,Using 3rd style,Using 4th style,Using 5th style<,Mark,Select all between matching braces,Go to matching braces,Go to matching brace,Go to,Previous search result,Next search result,Search results window,incremental search,Replace,Find volatile previous,Find volatile next,Select and find previous,Select and find next,Find previous,Find next,Find in files,Find,,,,,,,,,,,,,,,,,,,,,,,
View,Monitorying tail f,Text Direction LTR,Text direction RTL,Synchronize horizontal scrolling,Synchronize vertical schrolling,Function list,Document map,Folder as workspace,Project>,project panel 1,project panel 2,project panel 3<,Summary,Uncollapse level>,1,2,3,4,5,6,7,8<,Collapse Level>,1,2,3,4,5,6,7,8<,Uncollapse current level,Unfold all,Fold all,Hide lines,Focus on another view,Word warp<,Tab>,1st tab,2nd tab,3rd tab,4th tab,5th tab,6th tab,7th tab,8th tab,9th tab,next tab<,Move/Clone current document>,move to other view,clone to other view,move to new instance,open in new instance<,Zoom>,zoom in,zoom out,restore default zoom<,Show symbol>,Show white space and tab,Show end of lines,Show all characters,Show indent guide,Show wrap symbol<,Post it,Toggle full screen mode,Always on top,,,,,,,,,,,,,
Encoding,Convert to UCS 2 LE BOM,Convert to UCS 2 BE BOM,Convert to UTF 8 BOM,Convert to UTF 8,Convert to ANSI,Character sets>,Arabic,Baltic,Celtic,Cyrillic,Central European,Chinese,Eastern European,Greek,Hebrew,Japanese<,Encode in UCS 2 LE BOM,Encode in UCS 2 BE BOM,Encode in UTF 8 BOM,Encode in UTF 8,Encode in ANSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Language,visual basic,User defined,Define your language,YAML,XML,V>,VHDL,Verilog<,T>,TCL,tektronix extended HEX,TeX<,S>,shell,scheme,smalltalk,sql,s record<,R>,R,resource file,ruby<,P>,pascal,perl,PHP,postscript,powershell,properties,python<,Objective C,N>,normal text,NSIS<,M>,makefile,matlab,MS DOS Style<,L>,LISP,Lua<,KIXtart,J>,java,javascript,JSON,JSP<,I>,INI file,Inno setup,Intel Hex<,H>,haskell,HTML<,Gui4Cli,F>,fortan free form,fortran fixed form<,D>,D,Diff<,C>,C,C#,C++,Caml,Cmake,COBOL,Coffee Script,CSS<,B>,BaanC,batch<,A>,actionscript,ada,ASP,assembly,autolt<
Settings,Edit Popup ContextMenu,Import>,Import Plugins,Import style themes<,Shortcut Mapper,Style Configurator,Preferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools,MD5>,Generate,Generate from files,Generate into clipboard<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macro,Modify Shortcut/Delete Macro,Trim Trailing and save,Run a macro multiple times,Save current recorded macro,Playback,Stop Recording,Start Recording,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run,Modify Shortcut/Delete Command,Send via Outlook,Open in another instance,Open file,Wikipedia Search,Google Search,Get php help,Launch in Safari,Launch I Chrome,Launch in IE,Launch in Firefox,Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plugins,Plugin Manager>,Show plugin manager,About<,NPP Export>,Export to RTF,Export html,Copy RTF to clipboard,Copy html to Clipboard,Copy all formats to clipboard<,MIME Tools>,Base64Encode,Base64 Encode with Unix EOL,Base64 Decode,Quoted printable encode,Quoted printable decode,Url encode,Full Url encode,Url Decode,SAML decode,About<,Converter>,ASCII -> Hex,HEX -> ASCII,Conversion Panel,Edit Configuration File,About<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windows,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,About NotePad++,Debug Info,Set Update Proxy,Update NotePad++,Get More Plugins,Live Support,NotePad++ Community,NotePad++ Project Page,NotePad++ Home,Command Line Arguments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
