File,New File,New Project,Open File,Open Project,Close File,Save One File,Save All Files,Save File As,Move File,Rename File,Print,Convert Line Endings,Import/Export,Properties,Refresh,Switch Workspace,Restart Application,,,,,,,,,,,,,,
Edit,Undo/Redo,Cut,Copy,Copy Qualified Name,Paste,Delete,Select All,Find/Replace,Add Bookmark,Add Task,,,,,,,,,,,,,,,,,,,,,
Source,Toggle Comment,Add Block Comment,Remove Block Comment,Generate Element Comment,Shift Right,Shift Left,Correct Indentation,Format,Format Element,Add Imports,Organize Imports,Sort Members,Clean Up,Override/Implement Methods,Generate Getters/Setters,Generate Delegate Methods,Generate hashCode() and equals(),Navigate,Generate toString(),Generate Constructors using Fields,Generate Constructors using Superclass,Externalize Strings,Find Broken Externalized Strings,,,,,,,,
Refactor,Rename,Move,Change Method Signature,Extract Method,Extract Local Variable,Extract Constant,Inline,Convert Local Variable to Field,Convert Anonymous Class to Nested,Move Type to New File,Extract Interface,Extract Superclass,Use Supertype Where Possible,Pull Up,Push Down,Extract Class,Introduce Parameter Object,Introduce Indirection,Introduce Factory,Introduce Parameter,Encapsulate Field,Generalize Declared Type,Infer Generic Type Args,Migrate JAR File,Create Script,Apply Script,History,,,,
Navigate,Go Into,Go Back,Go Forward,Go Up One Level,Go to Type,Go to Package,Open,Open Type Hierarchy,Open Call Hierarchy,Open Hyperlink,Open Implementation,Open Super Implementation,Open Attached Javadoc,Open From Clipboard,Open Type,Open Type in Hierarchy,Open Resource,Open/Activate/Deactivate Task,Open User Setup,Open Installation Setup,Open Workspace Setup,Open Setup Log,Show in Breadcrumbs,Show in History,Show in Navigator,Show in Project Explorer,Show in Coverage,Show in Git Repos,Next/Previous,Last Edit Location,Back/Forward
Search,Search,File,Java,Text in Workspace,Text in Project,Text in File,Text in Working Set,References,Declarations,Implementors,Read Access,Write Access,Occurrences of Identifier in Files,Occurrences of Implementing Methods in Files,Occurrences of Throwing Exceptions in Files,Occurrences of Method Exits in Files,Occurrences of Break/Continue Targets in Files,Referring Tests,,,,,,,,,,,,,
Project,Open/Close Project,Build All,Build Project,Build Working Set,Clean,Build Automatically,Generate Javadoc,Properties,,,,,,,,,,,,,,,,,,,,,,,
Run,Run,Debug,Coverage Last Launched,Run History,Run As,Run Configurations,Debug History,Debug As,Debug Configurations,Coverage History,Coverage As,Coverage,Toggle Breakpoint,Toggle Tracepoint,Toggle Line Breakpoint,Toggle Watchpoint,Toggle Method Breakpoint,Skip All Breakpoints,Remove All Breakpoints,Add Java Exception Breakpoint,Add Class Load Breakpoint,All References,All Instances,Instance Count,Watch,Inspect,Display,Execute,Force Return,External Tools,
Window,Minimize,Zoom,Toggle Fullscreen,New Window,Toggle Split Editor (Horizontal),Toggle Split Editor (Vertical),Clone Editor,Appearance,Show View,Perspective,Navigation,Bring All to Front,,,,,,,,,,,,,,,,,,,
Help,Seach,Welcome,Help Contents,Search Expression,Show Contextual Help,Show Active Keybindings,Tips and Tricks,Report Bug or Enhancement,Cheat Sheets,Eclipse User Storage,Perform Setup Task,Install New Software,Eclipse Marketplace,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
