Google Button,Button,,,,,
Gmail Search,Text Field / Dropdown,,,,,
,Filter Mesages,PopUp,,,,
Search Button,Button,,,,,
Google Apps,Dropdown,,,,,
,Availible Apps,List,N,,,
,More,Button,,,,
Google Notifications,Dropdown,,,,,
,Settings,Button,,,,
,,Show notifications from,List,N,,
,,,Google Settings,Button,,
,,,On/Off,Toggle,,
,,Back,Button,,,
,Notifications,List,N,,,
Account Icon,PopUp,,,,,
,Google+ Profile,Link,,,,
,Privacy,Link,,,,
,My Account,Button/Link,,,,
,Add account,Button/Link,,,,
,Sign out,Button/Link,,,,
Gmail,Dropdown,,,,,
,Gmail,Button,,,,
,Contacts,Button,,,,
,Tasks,Button,,,,
Select Message,Button/Dropdown,,,,,
,All,Button,,,,
,None,Button,,,,
,Read,Button,,,,
,Unread,Button,,,,
,Starred,Button,,,,
,Unstarred,Button,,,,
Message Select,Checkbox,,,,,
,Selected,State,,,,
,,Archive,Button,,,
,,Report Spam,Button,,,
,,Delete,Button,,,
,,Move To,Dropdown,,,
,,,Search Label,Text Field,,
,,,Select Label,Dropdown,,
,,,,User Labels ,List,N
,,,,Spam,Button,
,,,,Trash,Button,
,,,,Create New,PopUp,
,,,,Manage Labels,PopUp,
,,Label As,Dropdown,,,
,,,Search Label,Text Field,,
,,,Select Label,Dropdown,,
,,,,User Labels ,List,N
,,,,Create New,PopUp,
,,,,Manage Labels,PopUp,
,,More,Dropdown,,,
,,,Mark as read,Button,,
,,,Mark as unread,Button,,
,,,Mark as important,Button,,
,,,Add to Tasks,Button,,
,,,Add star,Button,,
,,,Filter Messages ,PopUp,,
,,,Mute,Button,,
,Not Selected,State,,,,
,,Refresh,Button,,,
,,More ,Dropdown,,,
,,,Mark all as read,Button,,
,,,Filter Messages ,PopUp,,
Number of Emails,Dropdown,,,,,
,Newest,Button,,,,
,Oldest,Button,,,,
Newer Emails,Button,,,,,
Older Emails ,Button,,,,,
Settings Gear,Dropdown,,,,,
,Comfortable,,,,,
,Cozy,,,,,
,Compact,,,,,
,Inbox Config,PopUp,,,,
,Settings,PopUp,,,,
,Themes,PopUp,,,,
,Customize Address,Out of Scope,,,,
,Get Add-ons,Out of Scope,,,,
,Send Feedback,PopUp,,,,
,Help,Out of Scope,,,,
Compose ,Button,,,,,
,New Message,PopUp,,,,
Inbox ,Button,,,,,
Inbox Type,Dropdown,,,,,
,Default,Button,,,,
,,Manage Settings,Button,,,
,,,Inbox Config,Pop Up,,
,Important,Button,,,,
,Unread,Button,,,,
,Starred,Button,,,,
,Priority,Button,,,,
Inbox Config,PopUp,,,,,
,Primary,Checkbox,,,,
,Social,Checkbox,,,,
,Promotions,Checkbox,,,,
,Updates,Checkbox,,,,
,Forums,Checkbox,,,,
,Include Starred in Primary,Checkbox,,,,
,Save,Button,,,,
,Cancel,Button,,,,
,X,Button,,,,
New Message,PopUp,,,,,
,To,Text Field,,,,
,From,Dropdown,,,,
,CC,Button,,,,
,BCC,Button,,,,
,Subject,Text Field,,,,
,Body,Text Field,,,,
,Formatting Options,Dropdown,,,,
,,Font,Dropdown,,,
,,,Option,11,,
,,Size,Dropdown,,,
,,,Option,4,,
,,Bold,Toggle,,,
,,Italic,Toggle,,,
,,Underline ,Toggle,,,
,,Text Color,Dropdown,,,
,,,Option,64,,
,,,Option,64,,
,,Align,Dropdown,,,
,,,Button,3,,
,,Numbered List,Button,,,
,,Bulleted List,Button,,,
,,Indent Less,Button,,,
,,Indent More,Button,,,
,,Quote,Button,,,
,,Remove Formatting,Button,,,
,Attach Files,,,,,
,Insert Files,,,,,
,Send and Request Money,,,,,
,Insert Photo,,,,,
,Insert Link,,,,,
,Insert Emoji,,,,,
,Discard Draft,,,,,
,More Options,Dropdown,,,,
,,Default to full-screen,Button,,,
,,Label As,Dropdown,,,
,,,Search Label,Text Field,,
,,,Select Label,Dropdown,,
,,,,User Labels ,List,N
,,,,Add star,Button,
,,,,Create New,PopUp,
,,,,Manage Labels,PopUp,
,,Plain text mode,Button/Toggle,,,
,,Print,Button,,,
,,Check Spelling,Button,,,
Filter Mesages,PopUp,,,,,
,From,Text Field,,,,
,To,Text Field,,,,
