Level,Item (WEBSITE)
1,Weather
2,Local Weather
2,Radar
3,Change Mesonet Site
3,Site Information
3,Share/Tweet
2,Air Temperature
2,Rainfall
2,Wind
2,Dewpoint & Humidity
2,Pressure
1,Climate
2,Oklahoma Climatological Survey Website
1,Forecast
2,Local and Regional
3,Change Mesonet Site
3,Share/Tweet
2,NWS Forecast Temperature
2,NWS Forecast Precipitation
2,Long Range
2,Fire Weather
2,Severe Weather
2,Winter Weather
1,K-12 Education
2,Weather Explorations
3,Bellringers
3,Climate 101 Workshops
3,Glossary
3,Overview of Meteoroloty
3,Study Tools
3,Weather Events
2,Classroom Materials
3,Career Help
3,Scientific Mentors
3,Scouting
3,Speaker Service
3,Summer Camp
1,Agriculture
2,Crop
3,Wheat
3,Grass Hay
3,Alfalfa
3,Corn
3,Cotton
3,Peanut
3,Sorghum
3,Soybean
2,Horticulture
3,Pecan
3,Peach
3,Grape
3,Watermelon
3,Tomato
3,Sweet Corn
3,Garden Vegetable
3,Turfgrass
2,Livestock
3,Cattle
3,Dairy
3,Poultry
3,Swine
2,Range/Forest
3,Rangeland
3,Forrestry
3,Fire Danger
2,Learn More
2,AgBlog
2,Farm Monitor
2,Cattle Comfort Advisor
3,Cattle Comfort Advisor
3,First Hollow Stem Advisor
3,OSU Extension Animal Science
3,OSU Beef Cattle Publications
3,USDA Feedstuff Report
3,OK Ag Dept. In-State Hay List (PDF)
3,USDA OK/TX/NM Cattle Report
3,USDA Cattle and Beef Summary (PDF)
3,Noble Foundation Ag Tools
3,OK Cattlemens Assoc
2,Drift Risk Advisor
2,Degree Day Heat Units
2,Integration Planner
2,Drought
3,Oklahoma Drought Monitor Map
3,US Drought Monitor Map
3,Palmer Drought Index
3,Precip Needed - Palmer Drought Index
3,North American Drought Monitor
2,Disperson
3,Dispersion Conditions
3,Dispersion Forecast Map
3,Dispersion Forecast Table
3,Past Dispersion Table
3,Inversion Conditions
3,Dispersion Conditions and Winds
2,Evapotraspiration
3,Short Crop (Etos) ET Map
3,Tall Crop (Etrs) ET Map
3,Seasonal Single Site ET Table
3,Statewide Single Day ET Table
1,Public Safety
2,Contact OK-First
2,Download Software
2,News
2,Surveys
2,OK-First Participants
3,Certified
3,Assistant Certified
