Graphical UI features,,,,,,Messaging features,,,,File transfer features,Touchscreen features
Organized by Contacts,,,,,,facebook messages,,,,photos,swipe to navigate
,Shows Active Contacts,,,,,sms integration,,,,,pinch to zoom on photos
,Shows in-active contacts,,,,,call,,,,,
,Shows favorite contacts,,,,,video chat,,,,,
Organized by Views/Tabs from Dock,,,,,,contact info,,,,,
,Home,Organized by tabs under search bar,,,,,contact settings,,,,
,,Messages,,,,,,notifications toggle,,,
,,,add to your day button,,,,,conversation color,,,
,,,active users area,,,,,emoji,,,
,,,favorites area,,,,,nicknames,,,
,,,more conversations area,,,,,option to move to secret conversation,,,
,,Active,,,,,,voice call,,,
,,,shows active users,,,,,video chat,,,
,,Groups,,,,,,send/request money,,,
,,,shows group convversations,,,,,start a plan,,,
,,Calls,,,,,,view facebook profile profile,,,
,,,Start Group Call button,,,,,create group with contact,,,
,,,shows suggested contacts,,,,,block,,,
,People,Organized by tabs under search bar,,,,,,contact menu,,,
,,Messanger,,,,,,,open chat head,,
,,,Sync Contacts button,,,,,,create shortcut,,
,,,Message requests,,,,,,delete conversation,,
,,,Scan Messenger Code,,,,,,report a problem,,
,,,Shows Contacts with Messenger installed,,,,"""+""",,,,
,,,Add Contact button,,,,,saved,,,
,,Active,,,,,,money,,,
,,,Show yourself as active/inactive toggle,,,,,location,,,
,,,Shows Active contacts,,,,,games,,,
,Camera,,,,,,,plans,,,
,,"""X"" (exit)",,,,,,extentions,,,
,,Add Text,,,,,camera,,,,
,,,background color switch,,,,select from gallery,,,,
,,,Sticker menu,,,,microphone for speech to text,,,,
,,,text entry menu,,,,text entry,,,,
,,,,text color selection,,,thumbs up option,,,,
,,,,add bubble around text,,like individual posts,,,,,
,,,ink mode,,,share links ,,,,,
,,,,pen tool,,go to links,,,,,
,,,,,color selection,,,,,,
,,,,emoji stamper ,,,,,,,
,,,,,emoji selector,,,,,,
,,,,eraser,,,,,,,
,,,,undo,,,,,,,
,Games,,,,,,,,,,
,,search,,,,,,,,,
,,List of games ,,,,,,,,,
,,,option to play,,,,,,,,
,Discover,,,,,,,,,,
,,search,,,,,,,,,
,,list of channels,,,,,,,,,
Limited Colors,,,,,,,,,,,
Scroll Up and Down for messages,,,,,,,,,,,
Change Text Size ,,,,,,,,,,,
Change Orientation(mobile only),,,,,,,,,,,
