Mobile Gmail,Navigation Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,Navigation Bar,Search Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Social,Navigation Bar,Search Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Promotions,Navigation Bar,Search Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Starred,Navigation Bar,Search Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Important,Navigation Bar,Search Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sent,Navigation Bar,Search Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drafts,Navigation Bar,Search Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
,All mail,Navigation Bar,Search Bar,Favorite,,,,,,,,,,,,,,,,,,,,,,,,,
,Spam,Navigation Bar,Search Bar,Favorite,Empty Spam,Cancel,OK,,,,,,,,,,,,,,,,,,,,,,
,Trash,Navigation Bar,Search Bar,Favorite,Empty Trash,Cancel,OK,Create new Email,Back,Send,addressee,drop down menu for address line,collapse menu,text box for CC addressee,Bcc for Addressee,text box for subject line,test box for email body,allow suggestions from contacts,Attach file,Sent or Received email,,,,,,,,,
,Custom Folder Labels,,Search Bar,,,,,,,,,,,,,,,,Camera Roll,Archive,,,,,,,,,
,Create New (folder),close,done,,,,,,,,,,,,,,,,Recent Attachments,Send to trash,,,,,,,,,
,Settings,close,show sender images,google apps,google usage id,,,,,,,,,,,,,,Drive,Mark as unread,,,,,,,,,
,Send Feedback,close,send,text box for feedback,include email address,privacy policy,preview,,,,,,,,,,,,,Additional options,Move to,Change Labels,Mute,Report Spam,Print All,Cancel,Reply,Forward,Print
,Help,change or reset your password,change your gmail profile picture,delete or recover deleted gmail messages,change you gmail settings,organize you gmail inbox using labels,browse all articles,close tab,,,,,,,,,,,,Reply,,,,,AirPrint,,,,
,Collapse Menu,Manage Accounts,done,edit,add account,disable account on mobile,,,,,,,,,,,,,,Forward,,,,,Google Cloud Print,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Cancel,,,,
