Navigation Bar,,,,,,,,,,,,
Grid Navigation Button,,Home,New,All,Account Home,,,,,,,
,,365 apps,New 365 App,All 365 apps,My profile,,,,,,,
Office 365 Home,,,,,Logout,,,,,,,
Skype for Business,,,,,My account,,,,,,,
Notifications,,Reminders,,,,,,,,,,
,,Dismiss all,,,,,,,,,,
,,Show more,,,,,,,,,,
Settings,,Change theme,Office 365 Settings,,,,,,,,,
Help,,Search Help,Contact help,Feedback,Community,Legal,Privacy and Cookies,,,,,
,,,Phone,,,,,,,,,
,,,Email,,,,,,,,,
,,,,,,,,,,,,
Side Bar,,Home,,Inbox button,,Notifications,,Settings and More,,,,
,,Search Bar,,Search Bar,,,,Group Name,,,,
,,Main Group,,Main Group,,,,,invite,,,
,,Discover,,Discover,,,,,groups,,,
,,Create a group,,Create a group,,,,,people,,,
,,Subgroups,,Subgroups,,,,,files,,,
,,Private Messages,,Private Messages,,,,,apps,,,
,,Create message,,Create message,,,,browse external apps,,,,
,,,,,,,,Create a new network,,,,
,,,,,,,,get support,,,,
,,,,,,,,,,,,
Main Window,,Home Window,,,,Inbox Window,,,,,,
,,Status Window,,,,Create message,,,,,,
,,,tagging,,,Unread messages,,,,,,
,,,add gifs,,,Private messages,post in group,send private message,tagging,group selection,add gif,add file from computer
,,,sharepoint file selection,,,search mailbox,,,,,,
,,,yammer file selection,,,All messages,,,,,,
,,,Upload computer file,,,,,,,,,
,,Poll Window,,,,,,,,,,
,,,Ask question,,,,,,,,,
,,,Add answers,,,,,,,,,
,,,tagging,,,,,,,,,
,,,add gif,,,,,,,,,
,,,sharepoint file selection,,,,,,,,,
,,,yammer file selection,,,,,,,,,
,,,Upload computer file,,,,,,,,,
,,Post status button,,,,,,,,,,
,,Praise Window,,,,,,,,,,
,,,Emote icon,,,,,,,,,
,,,Select a person,,,,,,,,,
,,,,email search,,,,,,,,
,,,tagging,,,,,,,,,
,,,add gif,,,,,,,,,
,,,sharepoint file selection,,,,,,,,,
,,,yammer file selection,,,,,,,,,
,,,upload computer file,,,,,,,,,
,,Network Feed,,,,,,,,,,
,,,Discovery,,,,,,,,,
,,,,Unsubscribed Group Feeds on Yammer,,,,,,,,
,,,,Join a group from post,,,,,,,,
,,,,Like post,,,,,,,,
,,,,share post,,,,,,,,
,,,,subscribe post,,,,,,,,
,,,,Write reply to post,,,,,,,,
,,,All,,,,,,,,,
,,,,All sub group feeds on Yammer,,,,,,,,
,,,,Join group from post,,,,,,,,
,,,,like post,,,,,,,,
,,,,share post,,,,,,,,
,,,,subscribe post,,,,,,,,
,,,,write a reply to post,,,,,,,,
,,,Following,,,,,,,,,
,,,,Feeds for groups currently joined,,,,,,,,
,,,,Like post,,,,,,,,
,,,,share post,,,,,,,,
,,,,subscribe post,,,,,,,,
,,,,Write reply to post,,,,,,,,
,,,,,,,,,,,,
Side window,,Home,,,,,,,,,,
,,,Invite your coworkers,,,,,,,,,
,,,Network Usage policy,,,,,,,,,
,,,App Directory,,,,,,,,,
,,,Suggested people,,,,,,,,,
,,,,Follow Person,,,,,,,,
,,,Suggested Groups,,,,,,,,,
