Graphical UI features,,,Messaging features,,,File transfer features,,,Security features
Organized by contact,,,Send messages through wifi or service,,,Able to send photos,,,Ability to delete messages
Limited colors ,,,Able to message individuals by number or apple ID,,,able to take photos in app,,,device log in
Scroll up and down for messages,,,read/sent receipts,,,Able to send music files,,,automatic deletion of messages over time
able to select in and out of messages,,,Message reactions,,,Able to send documents,,,contact info of communicant listed. 
Main space made for messages,,,effects with text,,,Able to share location,,,Lock messages
Able to expand keyboard,,,able to share location and contacts,,,giphy/images feature,,,Hide messages
Able to increase text size,,,able to send money,,,drawing feature,,,
Able to add features through app store,,,automatic hyperlink to websites and contact information,,,Emoji feature,,,
Control of notifications,,,automatic recognition of dates,,,Send money feature,,,
,,,rotation of keyboard,,,Video transfer feature,,,
,,,ability to change name of contacts,,,,,,
,,,microphone to text feature,,,,,,
,,,add on application feature,,,,,,
,,,music feature,,,,,,
,,,access to message app store,,,,,,
,,,giphy/images feature,,,,,,
,,,Drawing feature,,,,,,
,,,smart typing,,,,,,
,,,multiple keyboards,,,,,,
